NAME,OBJECTID,FID,EASTING,NORTHING,LINES,NETWORK,Zone,x,y,Bakerloo,Central,Circle,District,Hammersmith,Jubilee,Metropolitan,Northern,Piccadilly,Victoria,Waterloo,Liberty,Lioness,Mildmay,Suffragette,Weaver,Windrush,Beckton,Woolwich,Lewisham,Wimbeck,Loop,Elizabeth
South Hampstead,351,190,526369,184096,n/a,London Overground,2,-0.177570816,51.54111829,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,18.0000000,,,,,N/A,N/A,N/A,N/A,N/A,N/A
South Harrow,219,390,514321,186361,Piccadilly,London Underground,5,-0.350509518,51.56404932,,,,,,,,,11.0700000,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Kensington,98,20,526918,178820,"District, Piccadilly, Circle",London Underground,1,-0.171564291,51.49357736,,,31.0000000,13.0000000,,,,,17.0000000,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Kenton,257,341,517336,187060,Bakerloo,London Underground,4,-0.306785037,51.56971265,3.0000000,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Kenton,352,376,517316,187081,n/a,London Overground,4,-0.307068904,51.56990367,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,9.0000000,,,,,N/A,N/A,N/A,N/A,N/A,N/A
South Quay,469,187,537597,179824,n/a,DLR,2,-0.017414424,51.50009877,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,9.0000000,N/A,N/A,N/A
South Ruislip,73,387,511097,185434,Central,London Underground,5,-0.39728854,51.55635983,,3.0000000,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Tottenham,353,295,533687,188621,n/a,London Overground,3,-0.070375895,51.58009969,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,5.0000000,,,N/A,N/A,N/A,N/A,N/A,N/A
South Wimbledon,209,227,525736,169989,Northern,London Underground,3,-0.191711278,51.41446924,,,,,,,,30.0000000,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Woodford,60,319,540536,190063,Central,London Underground,4,0.028990141,51.59138934,,31.0000000,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Southall,497,491,,,n/a,Elizabeth Line,4,-0.378300000,51.50600000,,,,,,,,,,,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,11.0000000
Southbury,151,406,534904,196237,n/a,London Overground,5,-0.049888718,51.64825562,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,13.0100000,,N/A,N/A,N/A,N/A,N/A,N/A
Southfields,101,204,524726,173313,District,London Underground,3,-0.205058529,51.4445635,,,,11.0600000,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Southgate,23,311,529676,194265,Piccadilly,London Underground,4,-0.126150933,51.6317626,,,,,,,,,36.0000000,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Southwark,288,62,531592,180074,Jubilee,London Underground,1,-0.103788452,51.50377646,,,,,,19.0000000,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
St. James's Park,239,54,529647,179498,"District, Circle",London Underground,1,-0.132021543,51.49905006,,,28.0000000,16.0000000,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
St. John's Wood,287,138,526735,183391,Jubilee,London Underground,2,-0.172545248,51.53469852,,,,,,13.0000000,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
St. Paul's,51,39,532108,181274,Central,London Underground,1,-0.095907533,51.51444286,,22.0000000,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stamford Brook,246,134,521859,178789,District,London Underground,2,-0.244408726,51.49440814,,,,6.0000000,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stamford Hill,160,257,533392,187955,n/a,London Overground,3,-0.074878256,51.57418005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,8.0000000,,N/A,N/A,N/A,N/A,N/A,N/A
Stanmore,285,399,517563,192573,Jubilee,London Underground,5,-0.30167142,51.61921632,,,,,,1.0000000,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Star Lane,476,290,539145,182115,n/a,DLR,3,0.005780604,51.52030887,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.0100000,6.0100000,,N/A,N/A,N/A
Stepney Green,248,135,535621,182136,"District, Hammersmith & City",London Underground,2,-0.044974603,51.52135166,,,,27.0000000,21.0000000,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stockwell,208,94,530460,176433,"Northern, Victoria",London Underground,2,-0.121436641,51.47131386,,,,,,,,22.0000000,,2.0000000,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stoke Newington,161,152,533723,186850,n/a,London Overground,2,-0.070536111,51.56417453,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,7.0000000,,N/A,N/A,N/A,N/A,N/A,N/A
Stonebridge Park,260,247,519616,184218,Bakerloo,London Underground,3,-0.27487576,51.54368887,6.0000000,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stonebridge Park,354,296,519687,184195,n/a,London Overground,3,-0.273853212,51.54346498,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,12.0000000,,,,,N/A,N/A,N/A,N/A,N/A,N/A
Stratford,270,252,538530,184395,"Central, Jubilee",London Underground,3,-0.002182514,51.54094802,,27.0000000,,,,27.0000000,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stratford,382,266,538530,184395,n/a,Elizabeth Line,3,-0.002182514,51.54094802,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.0000000
